#Time(s) flow thruput(Mb/s)
1.35s 9 265.274
1.36s 0 28.96
1.36s 1 1.1584
1.36s 2 57.92
1.36s 3 0
1.36s 4 30.1184
1.36s 5 122.79
1.36s 6 92.672
1.36s 7 31.2768
1.36s 8 132.058
1.36s 9 140.166
1.37s 0 75.296
1.37s 1 0
1.37s 2 228.205
1.37s 3 1.1584
1.37s 4 64.8704
1.37s 5 1.1584
1.37s 6 100.781
1.37s 7 47.4944
1.37s 8 101.939
1.37s 9 52.128
1.38s 0 141.325
1.38s 1 5.792
1.38s 2 134.374
1.38s 3 0
1.38s 4 107.731
1.38s 5 0
1.38s 6 100.781
1.38s 7 72.9792
1.38s 8 63.712
1.38s 9 53.2864
1.39s 0 1.1584
1.39s 1 46.336
1.39s 2 3.4752
1.39s 3 267.59
1.39s 4 6.9504
1.39s 5 35.9104
1.39s 6 52.128
1.39s 7 2.3168
1.39s 8 70.6624
1.39s 9 272.224
1.4s 0 0
1.4s 1 33.5936
1.4s 2 42.8608
1.4s 3 75.296
1.4s 4 103.098
1.4s 5 18.5344
1.4s 6 30.1184
1.4s 7 39.3856
1.4s 8 68.3456
1.4s 9 74.1376
1.41s 0 0
1.41s 1 82.2464
1.41s 2 286.125
1.41s 3 83.4048
1.41s 4 13.9008
1.41s 5 177.235
1.41s 6 1.1584
1.41s 7 57.92
1.41s 8 25.4848
1.41s 9 66.0288
1.42s 0 3.4752
1.42s 1 0
1.42s 2 25.4848
1.42s 3 71.8208
1.42s 4 0
1.42s 5 41.7024
1.42s 6 0
1.42s 7 63.712
1.42s 8 136.691
1.42s 9 5.792
1.43s 0 41.7024
1.43s 1 218.938
1.43s 2 125.107
1.43s 3 5.792
1.43s 4 155.226
1.43s 5 35.9104
1.43s 6 9.2672
1.43s 7 1.1584
1.43s 8 295.392
1.43s 9 94.9888
1.44s 0 82.2464
1.44s 1 0
1.44s 2 31.2768
1.44s 3 137.85
1.44s 4 28.96
1.44s 5 20.8512
1.44s 6 1.1584
1.44s 7 0
1.44s 8 0
1.44s 9 54.4448
1.45s 0 2.3168
1.45s 1 170.285
1.45s 2 177.235
1.45s 3 194.611
1.45s 4 163.334
1.45s 5 122.79
1.45s 6 0
1.45s 7 9.2672
1.45s 8 110.048
1.45s 9 44.0192
1.46s 0 378.797
1.46s 1 105.414
1.46s 2 44.0192
1.46s 3 0
1.46s 4 0
1.46s 5 3.4752
1.46s 6 8.1088
1.46s 7 1.1584
1.46s 8 49.8112
1.46s 9 0
1.47s 0 181.869
1.47s 1 135.533
1.47s 2 45.1776
1.47s 3 96.1472
1.47s 4 81.088
1.47s 5 99.6224
1.47s 6 44.0192
1.47s 7 0
1.47s 8 34.752
1.47s 9 47.4944
1.48s 0 42.8608
1.48s 1 25.4848
1.48s 2 6.9504
1.48s 3 195.77
1.48s 4 185.344
1.48s 5 2.3168
1.48s 6 6.9504
1.48s 7 5.792
1.48s 8 1.1584
1.48s 9 31.2768
1.49s 0 81.088
1.49s 1 15.0592
1.49s 2 27.8016
1.49s 3 77.6128
1.49s 4 79.9296
1.49s 5 22.0096
1.49s 6 30.1184
1.49s 7 3.4752
1.49s 8 0
1.49s 9 40.544
1.5s 0 23.168
1.5s 1 133.216
1.5s 2 288.442
1.5s 3 82.2464
1.5s 4 78.7712
1.5s 5 112.365
1.5s 6 1.1584
1.5s 7 1.1584
1.5s 8 1.1584
1.5s 9 86.88
1.51s 0 42.8608
1.51s 1 28.96
1.51s 2 31.2768
1.51s 3 61.3952
1.51s 4 77.6128
1.51s 5 1.1584
1.51s 6 0
1.51s 7 0
1.51s 8 4.6336
1.51s 9 12.7424
1.52s 0 12.7424
1.52s 1 56.7616
1.52s 2 198.086
1.52s 3 19.6928
1.52s 4 105.414
1.52s 5 296.55
1.52s 6 19.6928
1.52s 7 92.672
1.52s 8 52.128
1.52s 9 130.899
1.53s 0 28.96
1.53s 1 12.7424
1.53s 2 1.1584
1.53s 3 196.928
1.53s 4 50.9696
1.53s 5 1.1584
1.53s 6 5.792
1.53s 7 0
1.53s 8 1.1584
1.53s 9 3.4752
1.54s 0 126.266
1.54s 1 1.1584
1.54s 2 120.474
1.54s 3 232.838
1.54s 4 244.422
1.54s 5 127.424
1.54s 6 1.1584
1.54s 7 1.1584
1.54s 8 317.402
1.54s 9 70.6624
1.55s 0 111.206
1.55s 1 0
1.55s 2 74.1376
1.55s 3 19.6928
1.55s 4 46.336
1.55s 5 32.4352
1.55s 6 0
1.55s 7 0
1.55s 8 47.4944
1.55s 9 40.544
1.56s 0 267.59
1.56s 1 62.5536
1.56s 2 2.3168
1.56s 3 142.483
1.56s 4 83.4048
1.56s 5 92.672
1.56s 6 46.336
1.56s 7 75.296
1.56s 8 152.909
1.56s 9 16.2176
1.57s 0 0
1.57s 1 0
1.57s 2 327.827
1.57s 3 37.0688
1.57s 4 57.92
1.57s 5 5.792
1.57s 6 1.1584
1.57s 7 0
1.57s 8 22.0096
1.57s 9 32.4352
1.58s 0 39.3856
1.58s 1 1.1584
1.58s 2 143.642
1.58s 3 99.6224
1.58s 4 127.424
1.58s 5 24.3264
1.58s 6 0
1.58s 7 39.3856
1.58s 8 115.84
1.58s 9 42.8608
1.59s 0 258.323
1.59s 1 0
1.59s 2 63.712
1.59s 3 1.1584
1.59s 4 67.1872
1.59s 5 1.1584
1.59s 6 0
1.59s 7 26.6432
1.59s 8 74.1376
1.59s 9 155.226
1.6s 0 89.1968
1.6s 1 0
1.6s 2 13.9008
1.6s 3 0
1.6s 4 110.048
1.6s 5 0
1.6s 6 10.4256
1.6s 7 18.5344
1.6s 8 122.79
1.6s 9 35.9104
1.61s 0 221.254
1.61s 1 1.1584
1.61s 2 305.818
1.61s 3 0
1.61s 4 3.4752
1.61s 5 10.4256
1.61s 6 20.8512
1.61s 7 136.691
1.61s 8 27.8016
1.61s 9 192.294
1.62s 0 70.6624
1.62s 1 0
1.62s 2 38.2272
1.62s 3 1.1584
1.62s 4 188.819
1.62s 5 30.1184
1.62s 6 3.4752
1.62s 7 44.0192
1.62s 8 1.1584
1.62s 9 40.544
1.63s 0 214.304
1.63s 1 44.0192
1.63s 2 112.365
1.63s 3 0
1.63s 4 342.886
1.63s 5 41.7024
1.63s 6 89.1968
1.63s 7 122.79
1.63s 8 0
1.63s 9 112.365
1.64s 0 45.1776
1.64s 1 0
1.64s 2 3.4752
1.64s 3 8.1088
1.64s 4 1.1584
1.64s 5 13.9008
1.64s 6 104.256
1.64s 7 5.792
1.64s 8 0
1.64s 9 123.949
1.65s 0 116.998
1.65s 1 1.1584
1.65s 2 145.958
1.65s 3 56.7616
1.65s 4 67.1872
1.65s 5 1.1584
1.65s 6 139.008
1.65s 7 35.9104
1.65s 8 13.9008
1.65s 9 137.85
1.66s 0 100.781
1.66s 1 0
1.66s 2 1.1584
1.66s 3 13.9008
1.66s 4 229.363
1.66s 5 0
1.66s 6 105.414
1.66s 7 2.3168
1.66s 8 1.1584
1.66s 9 217.779
1.67s 0 62.5536
1.67s 1 9.2672
1.67s 2 0
1.67s 3 63.712
1.67s 4 135.533
1.67s 5 9.2672
1.67s 6 61.3952
1.67s 7 90.3552
1.67s 8 0
1.67s 9 140.166
1.68s 0 64.8704
1.68s 1 1.1584
1.68s 2 0
1.68s 3 1.1584
1.68s 4 136.691
1.68s 5 1.1584
1.68s 6 159.859
1.68s 7 1.1584
1.68s 8 147.117
1.68s 9 188.819
1.69s 0 52.128
1.69s 1 0
1.69s 2 9.2672
1.69s 3 0
1.69s 4 203.878
1.69s 5 0
1.69s 6 130.899
1.69s 7 0
1.69s 8 180.71
1.69s 9 224.73
1.7s 0 428.608
1.7s 1 116.998
1.7s 2 1.1584
1.7s 3 15.0592
1.7s 4 1.1584
1.7s 5 38.2272
1.7s 6 8.1088
1.7s 7 5.792
1.7s 8 0
1.7s 9 3.4752
1.71s 0 178.394
1.71s 1 61.3952
1.71s 2 0
1.71s 3 26.6432
1.71s 4 91.5136
1.71s 5 48.6528
1.71s 6 32.4352
1.71s 7 26.6432
1.71s 8 79.9296
1.71s 9 96.1472
1.72s 0 77.6128
1.72s 1 94.9888
1.72s 2 230.522
1.72s 3 147.117
1.72s 4 34.752
1.72s 5 77.6128
1.72s 6 1.1584
1.72s 7 1.1584
1.72s 8 27.8016
1.72s 9 3.4752
1.73s 0 144.8
1.73s 1 12.7424
1.73s 2 40.544
1.73s 3 42.8608
1.73s 4 42.8608
1.73s 5 8.1088
1.73s 6 0
1.73s 7 0
1.73s 8 13.9008
1.73s 9 26.6432
1.74s 0 1.1584
1.74s 1 305.818
1.74s 2 165.651
1.74s 3 101.939
1.74s 4 1.1584
1.74s 5 90.3552
1.74s 6 13.9008
1.74s 7 3.4752
1.74s 8 155.226
1.74s 9 89.1968
1.75s 0 0
1.75s 1 64.8704
1.75s 2 79.9296
1.75s 3 22.0096
1.75s 4 0
1.75s 5 44.0192
1.75s 6 5.792
1.75s 7 201.562
1.75s 8 24.3264
1.75s 9 92.672
1.76s 0 9.2672
1.76s 1 35.9104
1.76s 2 113.523
1.76s 3 201.562
1.76s 4 9.2672
1.76s 5 77.6128
1.76s 6 83.4048
1.76s 7 412.39
1.76s 8 83.4048
1.76s 9 6.9504
1.77s 0 1.1584
1.77s 1 16.2176
1.77s 2 17.376
1.77s 3 0
1.77s 4 1.1584
1.77s 5 10.4256
1.77s 6 1.1584
1.77s 7 9.2672
1.77s 8 38.2272
1.77s 9 161.018
1.78s 0 0
1.78s 1 245.581
1.78s 2 77.6128
1.78s 3 151.75
1.78s 4 0
1.78s 5 1.1584
1.78s 6 0
1.78s 7 137.85
1.78s 8 96.1472
1.78s 9 221.254
1.79s 0 0
1.79s 1 4.6336
1.79s 2 112.365
1.79s 3 54.4448
1.79s 4 107.731
1.79s 5 0
1.79s 6 0
1.79s 7 106.573
1.79s 8 0
1.79s 9 8.1088
1.8s 0 31.2768
1.8s 1 46.336
1.8s 2 201.562
1.8s 3 16.2176
1.8s 4 120.474
1.8s 5 15.0592
1.8s 6 41.7024
1.8s 7 130.899
1.8s 8 79.9296
1.8s 9 24.3264
1.81s 0 6.9504
1.81s 1 1.1584
1.81s 2 8.1088
1.81s 3 169.126
1.81s 4 3.4752
1.81s 5 26.6432
1.81s 6 1.1584
1.81s 7 37.0688
1.81s 8 69.504
1.81s 9 295.392
1.82s 0 26.6432
1.82s 1 0
1.82s 2 97.3056
1.82s 3 66.0288
1.82s 4 62.5536
1.82s 5 33.5936
1.82s 6 0
1.82s 7 42.8608
1.82s 8 53.2864
1.82s 9 107.731
1.83s 0 214.304
1.83s 1 5.792
1.83s 2 100.781
1.83s 3 77.6128
1.83s 4 6.9504
1.83s 5 53.2864
1.83s 6 0
1.83s 7 121.632
1.83s 8 96.1472
1.83s 9 54.4448
1.84s 0 32.4352
1.84s 1 6.9504
1.84s 2 52.128
1.84s 3 25.4848
1.84s 4 5.792
1.84s 5 0
1.84s 6 0
1.84s 7 31.2768
1.84s 8 1.1584
1.84s 9 41.7024
1.85s 0 78.7712
1.85s 1 161.018
1.85s 2 220.096
1.85s 3 81.088
1.85s 4 98.464
1.85s 5 206.195
1.85s 6 0
1.85s 7 31.2768
1.85s 8 0
1.85s 9 164.493
1.86s 0 4.6336
1.86s 1 110.048
1.86s 2 90.3552
1.86s 3 12.7424
1.86s 4 42.8608
1.86s 5 3.4752
1.86s 6 0
1.86s 7 3.4752
1.86s 8 0
1.86s 9 33.5936
1.87s 0 52.128
1.87s 1 227.046
1.87s 2 258.323
1.87s 3 55.6032
1.87s 4 1.1584
1.87s 5 191.136
1.87s 6 0
1.87s 7 70.6624
1.87s 8 52.128
1.87s 9 55.6032
1.88s 0 17.376
1.88s 1 40.544
1.88s 2 50.9696
1.88s 3 2.3168
1.88s 4 0
1.88s 5 18.5344
1.88s 6 13.9008
1.88s 7 18.5344
1.88s 8 56.7616
1.88s 9 24.3264
1.89s 0 1.1584
1.89s 1 163.334
1.89s 2 155.226
1.89s 3 137.85
1.89s 4 35.9104
1.89s 5 205.037
1.89s 6 1.1584
1.89s 7 77.6128
1.89s 8 15.0592
1.89s 9 305.818
1.9s 0 0
1.9s 1 17.376
1.9s 2 19.6928
1.9s 3 12.7424
1.9s 4 57.92
1.9s 5 74.1376
1.9s 6 0
1.9s 7 1.1584
1.9s 8 1.1584
1.9s 9 0
1.91s 0 5.792
1.91s 1 78.7712
1.91s 2 174.918
1.91s 3 130.899
1.91s 4 155.226
1.91s 5 229.363
1.91s 6 5.792
1.91s 7 0
1.91s 8 0
1.91s 9 199.245
1.92s 0 265.274
1.92s 1 24.3264
1.92s 2 4.6336
1.92s 3 55.6032
1.92s 4 56.7616
1.92s 5 1.1584
1.92s 6 62.5536
1.92s 7 0
1.92s 8 2.3168
1.92s 9 1.1584
1.93s 0 96.1472
1.93s 1 142.483
1.93s 2 6.9504
1.93s 3 67.1872
1.93s 4 76.4544
1.93s 5 115.84
1.93s 6 34.752
1.93s 7 9.2672
1.93s 8 8.1088
1.93s 9 55.6032
1.94s 0 66.0288
1.94s 1 2.3168
1.94s 2 148.275
1.94s 3 100.781
1.94s 4 75.296
1.94s 5 3.4752
1.94s 6 1.1584
1.94s 7 326.669
1.94s 8 79.9296
1.94s 9 5.792
1.95s 0 81.088
1.95s 1 13.9008
1.95s 2 67.1872
1.95s 3 25.4848
1.95s 4 77.6128
1.95s 5 4.6336
1.95s 6 0
1.95s 7 69.504
1.95s 8 35.9104
1.95s 9 19.6928
1.96s 0 1.1584
1.96s 1 1.1584
1.96s 2 34.752
1.96s 3 242.106
1.96s 4 30.1184
1.96s 5 356.787
1.96s 6 19.6928
1.96s 7 86.88
1.96s 8 79.9296
1.96s 9 112.365
1.97s 0 0
1.97s 1 0
1.97s 2 59.0784
1.97s 3 39.3856
1.97s 4 52.128
1.97s 5 70.6624
1.97s 6 23.168
1.97s 7 11.584
1.97s 8 63.712
1.97s 9 56.7616
1.98s 0 9.2672
1.98s 1 133.216
1.98s 2 74.1376
1.98s 3 120.474
1.98s 4 17.376
1.98s 5 53.2864
1.98s 6 59.0784
1.98s 7 302.342
1.98s 8 70.6624
1.98s 9 114.682
1.99s 0 48.6528
1.99s 1 10.4256
1.99s 2 1.1584
1.99s 3 31.2768
1.99s 4 5.792
1.99s 5 1.1584
1.99s 6 28.96
1.99s 7 68.3456
1.99s 8 35.9104
1.99s 9 1.1584
2s 0 1.1584
2s 1 305.818
2s 2 0
2s 3 110.048
2s 4 1.1584
2s 5 86.88
2s 6 89.1968
2s 7 177.235
2s 8 26.6432
2s 9 202.72
2.01s 0 0
2.01s 1 75.296
2.01s 2 0
2.01s 3 25.4848
2.01s 4 0
2.01s 5 81.088
2.01s 6 11.584
2.01s 7 46.336
2.01s 8 26.6432
2.01s 9 67.1872
2.02s 0 16.2176
2.02s 1 107.731
2.02s 2 192.294
2.02s 3 111.206
2.02s 4 49.8112
2.02s 5 6.9504
2.02s 6 251.373
2.02s 7 191.136
2.02s 8 23.168
2.02s 9 1.1584
2.03s 0 9.2672
2.03s 1 94.9888
2.03s 2 40.544
2.03s 3 1.1584
2.03s 4 56.7616
2.03s 5 1.1584
2.03s 6 3.4752
2.03s 7 1.1584
2.03s 8 62.5536
2.03s 9 0
2.04s 0 1.1584
2.04s 1 1.1584
2.04s 2 159.859
2.04s 3 143.642
2.04s 4 167.968
2.04s 5 0
2.04s 6 145.958
2.04s 7 163.334
2.04s 8 157.542
2.04s 9 5.792
2.05s 0 0
2.05s 1 0
2.05s 2 15.0592
2.05s 3 39.3856
2.05s 4 24.3264
2.05s 5 144.8
2.05s 6 0
2.05s 7 10.4256
2.05s 8 41.7024
2.05s 9 71.8208
2.06s 0 6.9504
2.06s 1 8.1088
2.06s 2 31.2768
2.06s 3 151.75
2.06s 4 63.712
2.06s 5 100.781
2.06s 6 96.1472
2.06s 7 90.3552
2.06s 8 68.3456
2.06s 9 92.672
2.07s 0 99.6224
2.07s 1 12.7424
2.07s 2 1.1584
2.07s 3 41.7024
2.07s 4 59.0784
2.07s 5 220.096
2.07s 6 33.5936
2.07s 7 63.712
2.07s 8 53.2864
2.07s 9 39.3856
2.08s 0 27.8016
2.08s 1 34.752
2.08s 2 0
2.08s 3 2.3168
2.08s 4 63.712
2.08s 5 32.4352
2.08s 6 19.6928
2.08s 7 0
2.08s 8 1.1584
2.08s 9 71.8208
2.09s 0 66.0288
2.09s 1 16.2176
2.09s 2 9.2672
2.09s 3 309.293
2.09s 4 1.1584
2.09s 5 120.474
2.09s 6 59.0784
2.09s 7 186.502
2.09s 8 172.602
2.09s 9 50.9696
2.1s 0 23.168
2.1s 1 69.504
2.1s 2 1.1584
2.1s 3 35.9104
2.1s 4 0
2.1s 5 12.7424
2.1s 6 33.5936
2.1s 7 22.0096
2.1s 8 116.998
2.1s 9 37.0688
2.11s 0 60.2368
2.11s 1 122.79
2.11s 2 0
2.11s 3 100.781
2.11s 4 3.4752
2.11s 5 173.76
2.11s 6 24.3264
2.11s 7 123.949
2.11s 8 225.888
2.11s 9 6.9504
2.12s 0 1.1584
2.12s 1 169.126
2.12s 2 0
2.12s 3 63.712
2.12s 4 122.79
2.12s 5 63.712
2.12s 6 1.1584
2.12s 7 35.9104
2.12s 8 1.1584
2.12s 9 1.1584
2.13s 0 0
2.13s 1 127.424
2.13s 2 38.2272
2.13s 3 250.214
2.13s 4 108.89
2.13s 5 81.088
2.13s 6 0
2.13s 7 107.731
2.13s 8 137.85
2.13s 9 0
2.14s 0 3.4752
2.14s 1 120.474
2.14s 2 0
2.14s 3 0
2.14s 4 33.5936
2.14s 5 407.757
2.14s 6 8.1088
2.14s 7 0
2.14s 8 1.1584
2.14s 9 52.128
2.15s 0 17.376
2.15s 1 145.958
2.15s 2 48.6528
2.15s 3 16.2176
2.15s 4 46.336
2.15s 5 189.978
2.15s 6 13.9008
2.15s 7 25.4848
2.15s 8 49.8112
2.15s 9 94.9888
2.16s 0 1.1584
2.16s 1 57.92
2.16s 2 17.376
2.16s 3 171.443
2.16s 4 339.411
2.16s 5 8.1088
2.16s 6 79.9296
2.16s 7 1.1584
2.16s 8 1.1584
2.16s 9 1.1584
2.17s 0 0
2.17s 1 86.88
2.17s 2 13.9008
2.17s 3 96.1472
2.17s 4 136.691
2.17s 5 244.422
2.17s 6 20.8512
2.17s 7 0
2.17s 8 0
2.17s 9 0
2.18s 0 25.4848
2.18s 1 114.682
2.18s 2 172.602
2.18s 3 96.1472
2.18s 4 56.7616
2.18s 5 2.3168
2.18s 6 310.451
2.18s 7 15.0592
2.18s 8 25.4848
2.18s 9 2.3168
2.19s 0 8.1088
2.19s 1 45.1776
2.19s 2 25.4848
2.19s 3 56.7616
2.19s 4 59.0784
2.19s 5 16.2176
2.19s 6 92.672
2.19s 7 26.6432
2.19s 8 3.4752
2.19s 9 5.792
2.2s 0 291.917
2.2s 1 60.2368
2.2s 2 183.027
2.2s 3 64.8704
2.2s 4 106.573
2.2s 5 1.1584
2.2s 6 30.1184
2.2s 7 1.1584
2.2s 8 205.037
2.2s 9 33.5936
2.21s 0 28.96
2.21s 1 60.2368
2.21s 2 48.6528
2.21s 3 27.8016
2.21s 4 78.7712
2.21s 5 0
2.21s 6 1.1584
2.21s 7 0
2.21s 8 34.752
2.21s 9 52.128
2.22s 0 235.155
2.22s 1 54.4448
2.22s 2 62.5536
2.22s 3 396.173
2.22s 4 1.1584
2.22s 5 27.8016
2.22s 6 0
2.22s 7 9.2672
2.22s 8 186.502
2.22s 9 30.1184
2.23s 0 31.2768
2.23s 1 63.712
2.23s 2 35.9104
2.23s 3 6.9504
2.23s 4 0
2.23s 5 24.3264
2.23s 6 134.374
2.23s 7 6.9504
2.23s 8 40.544
2.23s 9 12.7424
2.24s 0 150.592
2.24s 1 13.9008
2.24s 2 1.1584
2.24s 3 134.374
2.24s 4 15.0592
2.24s 5 27.8016
2.24s 6 317.402
2.24s 7 1.1584
2.24s 8 180.71
2.24s 9 141.325
2.25s 0 30.1184
2.25s 1 185.344
2.25s 2 0
2.25s 3 26.6432
2.25s 4 20.8512
2.25s 5 42.8608
2.25s 6 2.3168
2.25s 7 0
2.25s 8 111.206
2.25s 9 28.96
2.26s 0 118.157
2.26s 1 135.533
2.26s 2 3.4752
2.26s 3 83.4048
2.26s 4 40.544
2.26s 5 86.88
2.26s 6 79.9296
2.26s 7 8.1088
2.26s 8 139.008
2.26s 9 53.2864
2.27s 0 137.85
2.27s 1 47.4944
2.27s 2 254.848
2.27s 3 1.1584
2.27s 4 1.1584
2.27s 5 25.4848
2.27s 6 3.4752
2.27s 7 60.2368
2.27s 8 24.3264
2.27s 9 1.1584
2.28s 0 159.859
2.28s 1 129.741
2.28s 2 172.602
2.28s 3 0
2.28s 4 0
2.28s 5 140.166
2.28s 6 82.2464
2.28s 7 152.909
2.28s 8 72.9792
2.28s 9 0
2.29s 0 13.9008
2.29s 1 2.3168
2.29s 2 3.4752
2.29s 3 225.888
2.29s 4 5.792
2.29s 5 0
2.29s 6 37.0688
2.29s 7 0
2.29s 8 49.8112
2.29s 9 39.3856
2.3s 0 83.4048
2.3s 1 97.3056
2.3s 2 99.6224
2.3s 3 113.523
2.3s 4 69.504
2.3s 5 1.1584
2.3s 6 60.2368
2.3s 7 1.1584
2.3s 8 70.6624
2.3s 9 62.5536
2.31s 0 136.691
2.31s 1 1.1584
2.31s 2 10.4256
2.31s 3 154.067
2.31s 4 2.3168
2.31s 5 0
2.31s 6 37.0688
2.31s 7 0
2.31s 8 221.254
2.31s 9 52.128
2.32s 0 114.682
2.32s 1 0
2.32s 2 110.048
2.32s 3 101.939
2.32s 4 16.2176
2.32s 5 5.792
2.32s 6 84.5632
2.32s 7 0
2.32s 8 64.8704
2.32s 9 70.6624
2.33s 0 1.1584
2.33s 1 5.792
2.33s 2 6.9504
2.33s 3 161.018
2.33s 4 1.1584
2.33s 5 135.533
2.33s 6 16.2176
2.33s 7 1.1584
2.33s 8 310.451
2.33s 9 44.0192
2.34s 0 0
2.34s 1 30.1184
2.34s 2 55.6032
2.34s 3 83.4048
2.34s 4 0
2.34s 5 88.0384
2.34s 6 42.8608
2.34s 7 0
2.34s 8 142.483
2.34s 9 84.5632
2.35s 0 5.792
2.35s 1 26.6432
2.35s 2 17.376
2.35s 3 111.206
2.35s 4 75.296
2.35s 5 19.6928
2.35s 6 97.3056
2.35s 7 464.518
2.35s 8 37.0688
2.35s 9 23.168
2.36s 0 15.0592
2.36s 1 2.3168
2.36s 2 23.168
2.36s 3 30.1184
2.36s 4 6.9504
2.36s 5 11.584
2.36s 6 50.9696
2.36s 7 70.6624
2.36s 8 61.3952
2.36s 9 1.1584
2.37s 0 1.1584
2.37s 1 141.325
2.37s 2 13.9008
2.37s 3 60.2368
2.37s 4 200.403
2.37s 5 150.592
2.37s 6 38.2272
2.37s 7 128.582
2.37s 8 106.573
2.37s 9 41.7024
2.38s 0 0
2.38s 1 0
2.38s 2 1.1584
2.38s 3 199.245
2.38s 4 3.4752
2.38s 5 52.128
2.38s 6 0
2.38s 7 1.1584
2.38s 8 77.6128
2.38s 9 1.1584
2.39s 0 0
2.39s 1 52.128
2.39s 2 0
2.39s 3 111.206
2.39s 4 96.1472
2.39s 5 179.552
2.39s 6 17.376
2.39s 7 45.1776
2.39s 8 103.098
2.39s 9 26.6432
2.4s 0 0
2.4s 1 1.1584
2.4s 2 5.792
2.4s 3 1.1584
2.4s 4 33.5936
2.4s 5 1.1584
2.4s 6 403.123
2.4s 7 1.1584
2.4s 8 101.939
2.4s 9 121.632
2.41s 0 0
2.41s 1 0
2.41s 2 50.9696
2.41s 3 0
2.41s 4 111.206
2.41s 5 0
2.41s 6 348.678
2.41s 7 0
2.41s 8 232.838
2.41s 9 202.72
2.42s 0 0
2.42s 1 0
2.42s 2 26.6432
2.42s 3 231.68
2.42s 4 85.7216
2.42s 5 105.414
2.42s 6 103.098
2.42s 7 0
2.42s 8 33.5936
2.42s 9 154.067
2.43s 0 30.1184
2.43s 1 0
2.43s 2 28.96
2.43s 3 77.6128
2.43s 4 500.429
2.43s 5 69.504
2.43s 6 85.7216
2.43s 7 0
2.43s 8 94.9888
2.43s 9 1.1584
2.44s 0 1.1584
2.44s 1 0
2.44s 2 1.1584
2.44s 3 1.1584
2.44s 4 395.014
2.44s 5 1.1584
2.44s 6 44.0192
2.44s 7 0
2.44s 8 1.1584
2.44s 9 0
2.45s 0 0
2.45s 1 0
2.45s 2 0
2.45s 3 0
2.45s 4 393.856
2.45s 5 0
2.45s 6 1.1584
2.45s 7 0
2.45s 8 0
2.45s 9 88.0384
2.46s 0 11.584
2.46s 1 5.792
2.46s 2 19.6928
2.46s 3 31.2768
2.46s 4 607.002
2.46s 5 35.9104
2.46s 6 0
2.46s 7 9.2672
2.46s 8 15.0592
2.46s 9 203.878
2.47s 0 35.9104
2.47s 1 27.8016
2.47s 2 61.3952
2.47s 3 76.4544
2.47s 4 157.542
2.47s 5 22.0096
2.47s 6 0
2.47s 7 2.3168
2.47s 8 39.3856
2.47s 9 23.168
2.48s 0 32.4352
2.48s 1 26.6432
2.48s 2 1.1584
2.48s 3 13.9008
2.48s 4 195.77
2.48s 5 1.1584
2.48s 6 0
2.48s 7 518.963
2.48s 8 27.8016
2.48s 9 203.878
2.49s 0 105.414
2.49s 1 19.6928
2.49s 2 0
2.49s 3 24.3264
2.49s 4 91.5136
2.49s 5 0
2.49s 6 0
2.49s 7 48.6528
2.49s 8 55.6032
2.49s 9 57.92
2.5s 0 1.1584
2.5s 1 290.758
2.5s 2 5.792
2.5s 3 134.374
2.5s 4 113.523
2.5s 5 25.4848
2.5s 6 0
2.5s 7 198.086
2.5s 8 1.1584
2.5s 9 106.573
2.51s 0 0
2.51s 1 39.3856
2.51s 2 3.4752
2.51s 3 37.0688
2.51s 4 31.2768
2.51s 5 16.2176
2.51s 6 472.627
2.51s 7 84.5632
2.51s 8 0
2.51s 9 35.9104
2.52s 0 0
2.52s 1 57.92
2.52s 2 93.8304
2.52s 3 137.85
2.52s 4 66.0288
2.52s 5 1.1584
2.52s 6 340.57
2.52s 7 119.315
2.52s 8 0
2.52s 9 8.1088
2.53s 0 0
2.53s 1 64.8704
2.53s 2 22.0096
2.53s 3 18.5344
2.53s 4 85.7216
2.53s 5 0
2.53s 6 94.9888
2.53s 7 1.1584
2.53s 8 1.1584
2.53s 9 225.888
2.54s 0 0
2.54s 1 104.256
2.54s 2 35.9104
2.54s 3 66.0288
2.54s 4 79.9296
2.54s 5 0
2.54s 6 100.781
2.54s 7 119.315
2.54s 8 0
2.54s 9 99.6224
2.55s 0 0
2.55s 1 33.5936
2.55s 2 148.275
2.55s 3 34.752
2.55s 4 370.688
2.55s 5 0
2.55s 6 63.712
2.55s 7 1.1584
2.55s 8 22.0096
2.55s 9 90.3552
2.56s 0 3.4752
2.56s 1 101.939
2.56s 2 34.752
2.56s 3 76.4544
2.56s 4 130.899
2.56s 5 0
2.56s 6 69.504
2.56s 7 0
2.56s 8 22.0096
2.56s 9 147.117
2.57s 0 5.792
2.57s 1 28.96
2.57s 2 208.512
2.57s 3 1.1584
2.57s 4 217.779
2.57s 5 0
2.57s 6 113.523
2.57s 7 3.4752
2.57s 8 1.1584
2.57s 9 6.9504
2.58s 0 46.336
2.58s 1 83.4048
2.58s 2 108.89
2.58s 3 0
2.58s 4 114.682
2.58s 5 13.9008
2.58s 6 99.6224
2.58s 7 32.4352
2.58s 8 0
2.58s 9 75.296
2.59s 0 2.3168
2.59s 1 44.0192
2.59s 2 108.89
2.59s 3 9.2672
2.59s 4 3.4752
2.59s 5 1.1584
2.59s 6 92.672
2.59s 7 6.9504
2.59s 8 261.798
2.59s 9 137.85
2.6s 0 24.3264
2.6s 1 83.4048
2.6s 2 28.96
2.6s 3 18.5344
2.6s 4 54.4448
