#Time(s) flow thruput(Mb/s)
0.35s 0 1.1584
0.35s 1 30.1184
0.35s 2 48.6528
0.35s 3 0
0.35s 4 0
0.35s 5 0
0.35s 6 0
0.35s 7 0
0.35s 8 0
0.35s 9 0
0.36s 0 0
0.36s 1 104.256
0.36s 2 178.394
0.36s 3 0
0.36s 4 0
0.36s 5 0
0.36s 6 0
0.36s 7 0
0.36s 8 0
0.36s 9 0
0.37s 0 9.2672
0.37s 1 0
0.37s 2 0
0.37s 3 382.272
0.37s 4 0
0.37s 5 0
0.37s 6 0
0.37s 7 0
0.37s 8 0
0.37s 9 0
0.38s 0 5.792
0.38s 1 17.376
0.38s 2 3.4752
0.38s 3 150.592
0.38s 4 0
0.38s 5 0
0.38s 6 0
0.38s 7 0
0.38s 8 0
0.38s 9 0
0.39s 0 41.7024
0.39s 1 1.1584
0.39s 2 150.592
0.39s 3 283.808
0.39s 4 0
0.39s 5 0
0.39s 6 0
0.39s 7 0
0.39s 8 0
0.39s 9 0
0.4s 0 1.1584
0.4s 1 0
0.4s 2 19.6928
0.4s 3 319.718
0.4s 4 0
0.4s 5 0
0.4s 6 0
0.4s 7 0
0.4s 8 0
0.4s 9 0
0.41s 0 0
0.41s 1 0
0.41s 2 44.0192
0.41s 3 166.81
0.41s 4 0
0.41s 5 0
0.41s 6 0
0.41s 7 0
0.41s 8 0
0.41s 9 0
0.42s 0 3.4752
0.42s 1 0
0.42s 2 52.128
0.42s 3 535.181
0.42s 4 0
0.42s 5 0
0.42s 6 0
0.42s 7 0
0.42s 8 0
0.42s 9 0
0.43s 0 10.4256
0.43s 1 0
0.43s 2 19.6928
0.43s 3 249.056
0.43s 4 0
0.43s 5 0
0.43s 6 0
0.43s 7 0
0.43s 8 0
0.43s 9 0
0.44s 0 1.1584
0.44s 1 0
0.44s 2 228.205
0.44s 3 159.859
0.44s 4 0
0.44s 5 0
0.44s 6 0
0.44s 7 0
0.44s 8 0
0.44s 9 0
0.45s 0 0
0.45s 1 3.4752
0.45s 2 142.483
0.45s 3 232.838
0.45s 4 0
0.45s 5 0
0.45s 6 0
0.45s 7 0
0.45s 8 0
0.45s 9 0
0.46s 0 240.947
0.46s 1 38.2272
0.46s 2 70.6624
0.46s 3 1.1584
0.46s 4 0
0.46s 5 0
0.46s 6 0
0.46s 7 0
0.46s 8 0
0.46s 9 0
0.47s 0 82.2464
0.47s 1 41.7024
0.47s 2 98.464
0.47s 3 77.6128
0.47s 4 0
0.47s 5 0
0.47s 6 0
0.47s 7 0
0.47s 8 0
0.47s 9 0
0.48s 0 20.8512
0.48s 1 1.1584
0.48s 2 1.1584
0.48s 3 38.2272
0.48s 4 483.053
0.48s 5 0
0.48s 6 0
0.48s 7 0
0.48s 8 0
0.48s 9 0
0.49s 0 20.8512
0.49s 1 53.2864
0.49s 2 34.752
0.49s 3 188.819
0.49s 4 118.157
0.49s 5 0
0.49s 6 0
0.49s 7 0
0.49s 8 0
0.49s 9 0
0.5s 0 10.4256
0.5s 1 9.2672
0.5s 2 9.2672
0.5s 3 15.0592
0.5s 4 48.6528
0.5s 5 0
0.5s 6 0
0.5s 7 0
0.5s 8 0
0.5s 9 0
0.51s 0 206.195
0.51s 1 1.1584
0.51s 2 90.3552
0.51s 3 161.018
0.51s 4 156.384
0.51s 5 0
0.51s 6 0
0.51s 7 0
0.51s 8 0
0.51s 9 0
0.52s 0 114.682
0.52s 1 0
0.52s 2 154.067
0.52s 3 147.117
0.52s 4 54.4448
0.52s 5 0
0.52s 6 0
0.52s 7 0
0.52s 8 0
0.52s 9 0
0.53s 0 123.949
0.53s 1 491.162
0.53s 2 2.3168
0.53s 3 93.8304
0.53s 4 8.1088
0.53s 5 0
0.53s 6 0
0.53s 7 0
0.53s 8 0
0.53s 9 0
0.54s 0 3.4752
0.54s 1 24.3264
0.54s 2 42.8608
0.54s 3 3.4752
0.54s 4 3.4752
0.54s 5 0
0.54s 6 0
0.54s 7 0
0.54s 8 0
0.54s 9 0
0.55s 0 72.9792
0.55s 1 132.058
0.55s 2 106.573
0.55s 3 86.88
0.55s 4 96.1472
0.55s 5 0
0.55s 6 0
0.55s 7 0
0.55s 8 0
0.55s 9 0
0.56s 0 19.6928
0.56s 1 247.898
0.56s 2 26.6432
0.56s 3 1.1584
0.56s 4 98.464
0.56s 5 0
0.56s 6 0
0.56s 7 0
0.56s 8 0
0.56s 9 0
0.57s 0 139.008
0.57s 1 366.054
0.57s 2 196.928
0.57s 3 0
0.57s 4 232.838
0.57s 5 0
0.57s 6 0
0.57s 7 0
0.57s 8 0
0.57s 9 0
0.58s 0 59.0784
0.58s 1 103.098
0.58s 2 25.4848
0.58s 3 46.336
0.58s 4 93.8304
0.58s 5 232.838
0.58s 6 0
0.58s 7 0
0.58s 8 0
0.58s 9 0
0.59s 0 10.4256
0.59s 1 74.1376
0.59s 2 247.898
0.59s 3 349.837
0.59s 4 26.6432
0.59s 5 1.1584
0.59s 6 0
0.59s 7 0
0.59s 8 0
0.59s 9 0
0.6s 0 17.376
0.6s 1 67.1872
0.6s 2 41.7024
0.6s 3 112.365
0.6s 4 240.947
0.6s 5 0
0.6s 6 0
0.6s 7 0
0.6s 8 0
0.6s 9 0
0.61s 0 94.9888
0.61s 1 192.294
0.61s 2 155.226
0.61s 3 120.474
0.61s 4 262.957
0.61s 5 0
0.61s 6 0
0.61s 7 0
0.61s 8 0
0.61s 9 0
0.62s 0 63.712
0.62s 1 19.6928
0.62s 2 3.4752
0.62s 3 193.453
0.62s 4 46.336
0.62s 5 0
0.62s 6 0
0.62s 7 0
0.62s 8 0
0.62s 9 0
0.63s 0 69.504
0.63s 1 132.058
0.63s 2 70.6624
0.63s 3 294.234
0.63s 4 110.048
0.63s 5 0
0.63s 6 0
0.63s 7 0
0.63s 8 0
