#Time(s) flow thruput(Mb/s)
0.18s 4 0
0.18s 5 0
0.18s 6 0
0.18s 7 0
0.18s 8 0
0.18s 9 0
0.18s 10 0
0.18s 11 0
0.18s 12 0
0.18s 13 0
0.18s 14 0
0.18s 15 0
0.18s 16 0
0.18s 17 0
0.18s 18 0
0.18s 19 0
0.19s 0 952.32
0.19s 1 958.054
0.19s 2 951.91
0.19s 3 956.826
0.19s 4 0
0.19s 5 0
0.19s 6 0
0.19s 7 0
0.19s 8 0
0.19s 9 0
0.19s 10 0
0.19s 11 0
0.19s 12 0
0.19s 13 0
0.19s 14 0
0.19s 15 0
0.19s 16 0
0.19s 17 0
0.19s 18 0
0.19s 19 0
0.2s 0 954.368
0.2s 1 953.958
0.2s 2 952.32
0.2s 3 953.549
0.2s 4 0
0.2s 5 0
0.2s 6 0
0.2s 7 0
0.2s 8 0
0.2s 9 0
0.2s 10 0
0.2s 11 0
0.2s 12 0
0.2s 13 0
0.2s 14 0
0.2s 15 0
0.2s 16 0
0.2s 17 0
0.2s 18 0
0.2s 19 0
0.21s 0 951.501
0.21s 1 952.32
0.21s 2 954.368
0.21s 3 952.32
0.21s 4 0
0.21s 5 0
0.21s 6 0
0.21s 7 0
0.21s 8 0
0.21s 9 0
0.21s 10 0
0.21s 11 0
0.21s 12 0
0.21s 13 0
0.21s 14 0
0.21s 15 0
0.21s 16 0
0.21s 17 0
0.21s 18 0
0.21s 19 0
0.22s 0 952.32
0.22s 1 952.32
0.22s 2 952.32
0.22s 3 951.91
0.22s 4 0
0.22s 5 0
0.22s 6 0
0.22s 7 0
0.22s 8 0
0.22s 9 0
0.22s 10 0
0.22s 11 0
0.22s 12 0
0.22s 13 0
0.22s 14 0
0.22s 15 0
0.22s 16 0
0.22s 17 0
0.22s 18 0
0.22s 19 0
0.23s 0 953.139
0.23s 1 953.549
0.23s 2 952.32
0.23s 3 952.32
0.23s 4 1787.49
0.23s 5 0
0.23s 6 0
0.23s 7 0
0.23s 8 0
0.23s 9 0
0.23s 10 0
0.23s 11 0
0.23s 12 0
0.23s 13 0
0.23s 14 0
0.23s 15 0
0.23s 16 0
0.23s 17 0
0.23s 18 0
0.23s 19 0
0.24s 0 953.139
0.24s 1 952.32
0.24s 2 962.15
0.24s 3 954.368
0.24s 4 961.741
0.24s 5 0
0.24s 6 0
0.24s 7 0
0.24s 8 0
0.24s 9 0
0.24s 10 0
0.24s 11 0
0.24s 12 0
0.24s 13 0
0.24s 14 0
0.24s 15 0
0.24s 16 0
0.24s 17 0
0.24s 18 0
0.24s 19 0
0.25s 0 953.139
0.25s 1 952.32
0.25s 2 952.32
0.25s 3 952.32
0.25s 4 952.32
0.25s 5 0
0.25s 6 0
0.25s 7 0
0.25s 8 0
0.25s 9 0
0.25s 10 0
0.25s 11 0
0.25s 12 0
0.25s 13 0
0.25s 14 0
0.25s 15 0
0.25s 16 0
0.25s 17 0
0.25s 18 0
0.25s 19 0
0.26s 0 953.139
0.26s 1 953.958
0.26s 2 953.549
0.26s 3 953.549
