#Time(s)	throughput(Mbps)
0.052 5 6035.264
0.053 0 5757.248
0.053 1 5745.664
0.053 2 6104.768
0.053 3 6521.792
0.053 5 6032.368
0.054 0 5571.904
0.054 1 5954.176
0.054 2 6394.368
0.054 3 6209.024
0.054 5 6032.368
0.055 0 5085.376
0.055 1 6521.792
0.055 2 6822.976
0.055 3 5710.912
0.055 5 6035.264
0.056 0 5259.136
0.056 1 6174.272
0.056 2 6846.144
0.056 3 5849.920
0.056 5 6032.368
0.057 0 5374.976
0.057 1 6313.280
0.057 2 6521.792
0.057 3 5919.424
0.057 5 6032.368
0.058 0 5201.216
0.058 1 6730.304
0.058 2 6626.048
0.058 3 5583.488
0.058 5 6035.264
0.059 0 5317.056
0.059 1 6568.128
0.059 2 6961.984
0.059 3 5282.304
0.059 5 6032.368
0.060 0 5652.992
0.060 1 6266.944
0.060 2 6938.816
0.060 3 5270.720
0.060 5 6032.368
0.061 0 6070.016
0.061 1 6371.200
0.061 2 6475.456
0.061 3 5224.384
0.061 5 6035.264
0.062 0 5687.744
0.062 1 6938.816
0.062 2 6487.040
0.062 3 5015.872
0.062 5 6032.368
0.063 0 5595.072
0.063 1 6220.608
0.063 2 7066.240
0.063 3 5247.552
0.063 5 6032.368
0.064 0 6035.264
0.064 1 5907.840
0.064 2 6243.776
0.064 3 5954.176
0.064 5 6035.264
0.065 0 6081.600
0.065 1 6058.432
0.065 2 6081.600
0.065 3 5907.840
0.065 5 6032.368
0.066 0 5873.088
0.066 1 6104.768
0.066 2 6359.616
0.066 3 5792.000
0.066 5 6032.368
0.067 0 6232.192
0.067 1 5896.256
0.067 2 6348.032
0.067 3 5664.576
0.067 5 6035.264
0.068 0 6000.512
0.068 1 6243.776
0.068 2 5896.256
0.068 3 5988.928
0.068 5 6032.368
0.069 0 5861.504
0.069 1 6892.480
0.069 2 5988.928
0.069 3 5386.560
0.069 5 6032.368
0.070 0 5838.336
0.070 1 6162.688
0.070 2 6544.960
0.070 3 5595.072
0.070 5 6035.264
0.071 0 5826.752
0.071 1 6070.016
0.071 2 6209.024
0.071 3 6023.680
0.071 5 6032.368
0.072 0 5826.752
0.072 1 6348.032
0.072 2 6220.608
0.072 3 5734.080
0.072 5 6032.368
0.073 0 5432.896
0.073 1 6579.712
0.073 2 6683.968
0.073 3 5444.480
0.073 5 6035.264
0.074 0 5479.232
0.074 1 6162.688
0.074 2 6927.232
0.074 3 5560.320
0.074 5 6032.368
0.075 0 5629.824
0.075 1 5919.424
0.075 2 6394.368
0.075 3 6185.856
0.075 5 6032.368
0.076 0 5513.984
0.076 1 6429.120
0.076 2 6544.960
0.076 3 5652.992
0.076 5 6035.264
0.077 0 5293.888
0.077 1 6093.184
0.077 2 7182.080
0.077 3 5560.320
0.077 5 6032.368
0.078 0 5224.384
0.078 1 6116.352
0.078 2 6707.136
0.078 3 6081.600
0.078 5 6032.368
0.079 0 5363.392
0.079 1 6301.696
0.079 2 6544.960
0.079 3 5931.008
0.079 5 6035.264
0.080 0 4807.360
0.080 1 6961.984
0.080 2 6869.312
0.080 3 5490.816
0.080 5 6032.368
0.081 0 4934.784
0.081 1 6266.944
0.081 2 7390.592
0.081 3 5537.152
0.081 5 6032.368
0.082 0 5015.872
0.082 1 6093.184
0.082 2 6753.472
0.082 3 6278.528
0.082 5 6035.264
0.083 0 4934.784
0.083 1 6568.128
0.083 2 6869.312
0.083 3 5757.248
0.083 5 6032.368
0.084 0 5027.456
0.084 1 6104.768
0.084 2 7251.584
0.084 3 5745.664
0.084 5 6032.368
0.085 0 5513.984
0.085 1 5873.088
0.085 2 6718.720
0.085 3 6035.264
0.085 5 6035.264
0.086 0 5398.144
0.086 1 6000.512
0.086 2 6359.616
0.086 3 6371.200
0.086 5 6032.368
0.087 0 5224.384
0.087 1 6348.032
0.087 2 6568.128
0.087 3 5988.928
0.087 5 6032.368
0.088 0 5351.808
0.088 1 5803.584
0.088 2 6869.312
0.088 3 6116.352
0.088 5 6035.264
0.089 0 5432.896
0.089 1 6023.680
0.089 2 6243.776
0.089 3 6429.120
0.089 5 6032.368
0.090 0 5073.792
0.090 1 6626.048
0.090 2 6290.112
0.090 3 6139.520
0.090 5 6032.368
0.091 0 4957.952
0.091 1 6266.944
0.091 2 6799.808
0.091 3 6116.352
0.091 5 6035.264
0.092 0 5062.208
0.092 1 6255.360
0.092 2 6359.616
0.092 3 6452.288
0.092 5 6032.368
0.093 0 5004.288
0.093 1 6463.872
0.093 2 6266.944
0.093 3 6394.368
0.093 5 6032.368
0.094 0 4795.776
0.094 1 6938.816
0.094 2 6626.048
0.094 3 5780.416
0.094 5 6035.264
0.095 0 5143.296
0.095 1 6429.120
0.095 2 6938.816
0.095 3 5618.240
0.095 5 6032.368
0.096 0 5096.960
0.096 1 6197.440
0.096 2 6544.960
0.096 3 6290.112
0.096 5 6032.368
0.097 0 5259.136
0.097 1 6440.704
0.097 2 6510.208
0.097 3 5931.008
0.097 5 6035.264
0.098 0 5583.488
0.098 1 6278.528
0.098 2 6626.048
0.098 3 5641.408
0.098 5 6032.368
0.099 0 5977.344
0.099 1 5988.928
0.099 2 6185.856
0.099 3 5977.344
0.099 5 6032.368
0.100 0 6070.016
0.100 1 6058.432
0.100 2 5965.760
0.100 3 6046.848
0.100 5 6035.264
0.101 0 5803.584
0.101 1 6185.856
0.101 2 6127.936
0.101 3 5699.328
0.101 4 312.768
0.101 5 4825.894
0.102 0 5849.920
0.102 1 5780.416
0.102 2 6197.440
0.102 3 5792.000
0.102 4 509.696
0.102 5 4825.894
0.103 0 6012.096
0.103 1 5710.912
0.103 2 5444.480
0.103 3 5861.504
0.103 4 1112.064
0.103 5 4828.211
0.104 0 6209.024
0.104 1 5942.592
0.104 2 5201.216
0.104 3 5502.400
0.104 4 1274.240
0.104 5 4825.894
0.105 0 6151.104
0.105 1 5467.648
0.105 2 5513.984
0.105 3 5490.816
0.105 4 1505.920
0.105 5 4825.894
0.106 0 6220.608
0.106 1 4969.536
0.106 2 5039.040
0.106 3 5942.592
0.106 4 1969.280
0.106 5 4828.211
0.107 0 5977.344
0.107 1 5120.128
0.107 2 4969.536
0.107 3 5502.400
0.107 4 2560.064
0.107 5 4825.894
0.108 0 5432.896
0.108 1 5896.256
0.108 2 5096.960
0.108 3 5073.792
0.108 4 2629.568
0.108 5 4825.894
0.109 0 5108.544
0.109 1 5456.064
0.109 2 5687.744
0.109 3 5062.208
0.109 4 2826.496
0.109 5 4828.211
0.110 0 5015.872
0.110 1 5479.232
0.110 2 5189.632
0.110 3 5131.712
0.110 4 3313.024
0.110 5 4825.894
0.111 0 5062.208
0.111 1 5652.992
0.111 2 5270.720
0.111 3 4587.264
0.111 4 3556.288
0.111 5 4825.894
0.112 0 4818.944
0.112 1 5931.008
0.112 2 5340.224
0.112 3 4344.000
0.112 4 3706.880
0.112 5 4828.211
0.113 0 5096.960
0.113 1 5432.896
0.113 2 5166.464
0.113 3 4483.008
0.113 4 3950.144
0.113 5 4825.894
0.114 0 5154.880
0.114 1 5328.640
0.114 2 4830.528
0.114 3 4691.520
0.114 4 4123.904
0.114 5 4825.894
0.115 0 5317.056
0.115 1 5328.640
0.115 2 4957.952
0.115 3 4691.520
0.115 4 3845.888
0.115 5 4828.211
0.116 0 4818.944
0.116 1 5641.408
0.116 2 5351.808
0.116 3 4633.600
0.116 4 3683.712
0.116 5 4825.894
0.117 0 4865.280
0.117 1 5073.792
0.117 2 5270.720
0.117 3 5050.624
0.117 4 3869.056
0.117 5 4825.894
0.118 0 4807.360
0.118 1 5062.208
0.118 2 4969.536
0.118 3 5015.872
0.118 4 4286.080
0.118 5 4828.211
0.119 0 4842.112
0.119 1 5606.656
0.119 2 4865.280
0.119 3 4818.944
0.119 4 3996.480
0.119 5 4825.894
0.120 0 4969.536
0.120 1 5235.968
0.120 2 4981.120
0.120 3 4679.936
0.120 4 4262.912
0.120 5 4825.894
0.121 0 5189.632
0.121 1 4957.952
0.121 2 4564.096
0.121 3 4842.112
0.121 4 4587.264
0.121 5 4828.211
0.122 0 5039.040
0.122 1 5085.376
0.122 2 4575.680
0.122 3 4390.336
0.122 4 5039.040
0.122 5 4825.894
0.123 0 4842.112
0.123 1 5861.504
0.123 2 4645.184
0.123 3 4089.152
0.123 4 4691.520
0.123 5 4825.894
0.124 0 5178.048
0.124 1 5386.560
0.124 2 4656.768
0.124 3 4239.744
0.124 4 4679.936
0.124 5 4828.211
0.125 0 4911.616
0.125 1 5560.320
0.125 2 4204.992
0.125 3 4448.256
0.125 4 5004.288
0.125 5 4825.894
0.126 0 4818.944
0.126 1 5896.256
0.126 2 4448.256
0.126 3 4216.576
0.126 4 4749.440
0.126 5 4825.894
0.127 0 4830.528
0.127 1 6232.192
0.127 2 4540.928
0.127 3 4112.320
0.127 4 4425.088
0.127 5 4828.211
0.128 0 4842.112
0.128 1 5815.168
0.128 2 4401.920
0.128 3 4540.928
0.128 4 4529.344
0.128 5 4825.894
0.129 0 4668.352
0.129 1 5652.992
0.129 2 4483.008
0.129 3 4274.496
0.129 4 5050.624
0.129 5 4825.894
0.130 0 4506.176
0.130 1 6035.264
0.130 2 4830.528
0.130 3 4135.488
0.130 4 4633.600
0.130 5 4828.211
0.131 0 4633.600
0.131 1 5734.080
0.131 2 4818.944
0.131 3 4239.744
0.131 4 4703.104
0.131 5 4825.894
0.132 0 4494.592
0.132 1 5479.232
0.132 2 4610.432
0.132 3 4286.080
0.132 4 5259.136
0.132 5 4825.894
0.133 0 4401.920
0.133 1 5525.568
0.133 2 4633.600
0.133 3 4100.736
0.133 4 5479.232
0.133 5 4828.211
0.134 0 4425.088
0.134 1 5734.080
0.134 2 4957.952
0.134 3 3961.728
0.134 4 5050.624
0.134 5 4825.894
0.135 0 5085.376
0.135 1 5212.800
0.135 2 4795.776
0.135 3 4274.496
0.135 4 4761.024
0.135 5 4825.894
0.136 0 4969.536
0.136 1 5189.632
0.136 2 4645.184
0.136 3 4413.504
0.136 4 4923.200
0.136 5 4828.211
0.137 0 5039.040
0.137 1 5490.816
0.137 2 4981.120
0.137 3 4483.008
0.137 4 4135.488
0.137 5 4825.894
0.138 0 5282.304
0.138 1 5293.888
0.138 2 5073.792
0.138 3 4575.680
0.138 4 3903.808
0.138 5 4825.894
0.139 0 5560.320
0.139 1 5131.712
0.139 2 4517.760
0.139 3 4992.704
0.139 4 3938.560
0.139 5 4828.211
0.140 0 5409.728
0.140 1 5039.040
0.140 2 4506.176
0.140 3 4807.360
0.140 4 4367.168
0.140 5 4825.894
0.141 0 5270.720
0.141 1 5479.232
0.141 2 4656.768
0.141 3 4795.776
0.141 4 3926.976
0.141 5 4825.894
0.142 0 5456.064
0.142 1 4981.120
0.142 2 4761.024
0.142 3 4981.120
0.142 4 3961.728
0.142 5 4828.211
0.143 0 5340.224
0.143 1 4691.520
0.143 2 4494.592
